date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:48	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Jul%202025%2008:02:49%20GMT	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/scripts/jquery.uniform/jquery.uniform.min.js	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/scripts/jquery.uniform/jquery.uniform.min.a.delayed	(from http://sibagrades.iba-suk.edu.pk:86/Default.aspx)
13:02:50	3808/3808	---M--	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2008:02:49%20GMT	http://sibagrades.iba-suk.edu.pk:86/wpForgotPassword.aspx	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/wpForgotPassword.html	(from http://sibagrades.iba-suk.edu.pk:86/Default.aspx)
13:02:50	9750/9750	---M--	200	added ('OK')	application/javascript	etag:%22016de3aa615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/custom.js	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/custom.js	(from http://sibagrades.iba-suk.edu.pk:86/Default.aspx)
13:02:51	1037/1037	---M--	200	added ('OK')	image/png	etag:%22070403da615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-icon-message.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-icon-message.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:51	5632/5632	---M--	200	added ('OK')	image/png	etag:%22f86c9b8ded91cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-container.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-container.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:51	165/165	---M--	200	added ('OK')	image/png	etag:%2228b3af44bb91cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-navigation-tab-hover2.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-navigation-tab-hover2.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:52	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Jul%202025%2008:02:51%20GMT	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-navigation-tab-active2.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-navigation-tab-active2.10.delayed	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:52	570/570	---M--	200	added ('OK')	image/png	etag:%22070403da615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-nav-border.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-nav-border.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:52	94840/94840	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.7/jquery.min.js?ver=1.7	D:/Mr_AamirFolio/CMS-SIBA/ajax.googleapis.com/ajax/libs/jquery/1.7/jquery.min97e1.js	(from http://sibagrades.iba-suk.edu.pk:86/Default.aspx)
13:02:52	1039/1039	---M--	200	added ('OK')	image/png	etag:%22070403da615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-arrow-nav.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-arrow-nav.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:53	1055/1055	---M--	200	added ('OK')	image/png	etag:%220caa23fa615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/icon-dash.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/icon-dash.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:53	1118/1118	---M--	200	added ('OK')	image/png	etag:%220caa23fa615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/icon-user.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/icon-user.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:53	1154/1154	---M--	200	added ('OK')	image/png	etag:%220f7d340a615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/icon-widget.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/icon-widget.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:53	1066/1066	---M--	200	added ('OK')	image/png	etag:%220caa23fa615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/icon-post.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/icon-post.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:53	1022/1022	---M--	200	added ('OK')	image/png	etag:%220caa23fa615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/icon-pages.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/icon-pages.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:54	1079/1079	---M--	200	added ('OK')	image/png	etag:%22070403da615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-navigation.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-navigation.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:54	1089/1089	---M--	200	added ('OK')	image/png	etag:%22070403da615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-panel.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-panel.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:54	1087/1087	---M--	200	added ('OK')	image/png	etag:%2209d713ea615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-table-sorter-header.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-table-sorter-header.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:54	1047/1047	---M--	200	added ('OK')	image/png	etag:%22070403da615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-table-sorter-asc.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-table-sorter-asc.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:55	1056/1056	---M--	200	added ('OK')	image/png	etag:%2209d713ea615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-table-sorter-desc.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-table-sorter-desc.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:55	1097/1097	---M--	200	added ('OK')	image/png	etag:%2209d713ea615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/checkbox.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/checkbox.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:55	1312/1312	---M--	200	added ('OK')	image/png	etag:%220322c49a615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/radio.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/radio.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:55	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Jul%202025%2008:02:56%20GMT	http://sibagrades.iba-suk.edu.pk:86/Resources/images/back-screencast.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/images/back-screencast.1f.delayed	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:56	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Jul%202025%2008:02:56%20GMT	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-panel-title.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-panel-title.20.delayed	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:56	1014/1014	---M--	200	added ('OK')	image/png	etag:%22070403da615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-progress-bar-pattern2.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-progress-bar-pattern2.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:56	1016/1016	---M--	200	added ('OK')	image/png	etag:%22070403da615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-progress-bar-blue2.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-progress-bar-blue2.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:57	1024/1024	---M--	200	added ('OK')	image/png	etag:%22070403da615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-progress-bar-green.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-progress-bar-green.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:57	1015/1015	---M--	200	added ('OK')	image/png	etag:%22070403da615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-progress-bar-orange.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-progress-bar-orange.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:57	1016/1016	---M--	200	added ('OK')	image/png	etag:%22070403da615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-progress-bar-pattern-large2.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-progress-bar-pattern-large2.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
13:02:57	1028/1028	---M--	200	added ('OK')	image/png	etag:%22070403da615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/images/back-progress-bar-blue-large2.png	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/images/back-progress-bar-blue-large2.png	(from http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css)
